termo2;seconds_diff;;;;
35;759,499;;;;
35;758,06;;;;
34,75;756,533;;;;
34,75;755,039;;;;
34,5;753,549;;;;
34,5;752,032;;;;
34,5;750,543;;;;
34;749,032;;;;
34,25;747,523;;;;
34,25;746,018;;;;
34,25;744,467;;;;
34;742,985;;;;
34;741,493;;;;
33,75;740,008;;;;
33,75;738,508;;;;
34;736,978;;;;
34;735,408;;;;
33,5;734,008;;;;
33,75;732,51;;;;
33,25;730,979;;;;
33,75;729,498;;;;
33,75;727,969;;;;
33,25;726,478;;;;
33,5;724,977;;;;
33,5;723,489;;;;
33,25;721,967;;;;
33;720,475;;;;
32,5;718,929;;;;
33,25;717,433;;;;
32,5;715,932;;;;
33,25;714,378;;;;
33,5;712,95;;;;
32,25;711,41;;;;
32,75;709,934;;;;
33;708,423;;;;
33;706,883;;;;
32,5;705,43;;;;
33;703,905;;;;
32,5;702,434;;;;
32,25;700,913;;;;
32,75;699,42;;;;
32,5;697,918;;;;
32;696,412;;;;
32,25;694,87;;;;
32,5;693,358;;;;
31,75;691,869;;;;
31,75;690,404;;;;
32,25;688,898;;;;
32,25;687,328;;;;
32,25;685,883;;;;
32;684,362;;;;
32,25;682,843;;;;
31,5;681,363;;;;
32;679,874;;;;
31,75;678,351;;;;
31,25;676,828;;;;
32;675,348;;;;
32;673,844;;;;
32;672,251;;;;
31,75;670,803;;;;
31,5;669,349;;;;
31,5;667,838;;;;
31,5;666,339;;;;
31,75;664,787;;;;
31,25;663,245;;;;
31,75;661,752;;;;
31,25;660,311;;;;
31;658,816;;;;
31,5;657,318;;;;
31,5;655,793;;;;
31,5;654,31;;;;
31;652,785;;;;
31,25;651,283;;;;
31,25;649,754;;;;
31;648,294;;;;
30,75;646,785;;;;
31,25;645,275;;;;
31;643,778;;;;
31,25;642,153;;;;
31,25;640,768;;;;
31;639,272;;;;
31;637,778;;;;
30,5;636,124;;;;
30,5;634,755;;;;
30,5;633,153;;;;
30,5;631,758;;;;
30,25;630,213;;;;
31;628,747;;;;
30,75;626,583;;;;
30,5;624,782;;;;
30,25;622,353;;;;
30,75;619,044;;;;
30,25;613,773;;;;
29,75;612,222;;;;
30;610,704;;;;
30,25;608,71;;;;
30;607,693;;;;
30,5;606,179;;;;
30;604,698;;;;
30;603,188;;;;
29,75;601,219;;;;
30;600,195;;;;
30;598,649;;;;
30;597,101;;;;
29,5;595,688;;;;
30;594,168;;;;
29,75;592,662;;;;
29,75;591,143;;;;
29;589,667;;;;
29,5;588,127;;;;
29,25;586,665;;;;
30;585,16;;;;
29,75;583,624;;;;
29,5;582,068;;;;
29,75;580,62;;;;
29,75;579,08;;;;
29,5;577,563;;;;
29,25;576,13;;;;
29,25;574,583;;;;
29,25;573,135;;;;
28,75;571,598;;;;
29,5;570,105;;;;
29,75;568,615;;;;
28,5;567,115;;;;
29,5;565,605;;;;
29,25;564,073;;;;
29,5;562,608;;;;
29;561,102;;;;
29,25;559,585;;;;
28,75;558,089;;;;
29;556,577;;;;
29;555,048;;;;
29;553,585;;;;
29;552,078;;;;
29,25;550,559;;;;
28,5;549,072;;;;
28,75;547,558;;;;
29;546,043;;;;
29;544,529;;;;
29;543,009;;;;
29;541,554;;;;
28,5;540,029;;;;
28,5;538,528;;;;
29;537,043;;;;
28,5;535,504;;;;
28,25;534,023;;;;
28;532,523;;;;
28;531,003;;;;
28,75;529,522;;;;
28,25;528,015;;;;
28,25;526,509;;;;
28,75;525,013;;;;
28,75;523,494;;;;
28,75;522,003;;;;
28,75;520,508;;;;
28,5;519,003;;;;
28,75;517,504;;;;
28,25;515,994;;;;
28,5;514,488;;;;
28;512,972;;;;
28,25;511,47;;;;
28,5;509,967;;;;
28,25;508,452;;;;
28,5;506,88;;;;
28,25;505,468;;;;
28,25;503,943;;;;
28,25;502,449;;;;
28;500,885;;;;
28;499,443;;;;
28,25;497,947;;;;
28,25;496,385;;;;
27,75;494,933;;;;
28,25;493,433;;;;
28,25;491,931;;;;
28,25;490,43;;;;
28;488,903;;;;
28,25;487,414;;;;
28,25;485,92;;;;
27,5;484,409;;;;
27,5;482,851;;;;
27,75;481,405;;;;
27,75;479,894;;;;
28;478,394;;;;
28;476,878;;;;
28;475,377;;;;
27,25;473,86;;;;
27,5;472,373;;;;
27,75;470,861;;;;
27,75;469,365;;;;
27,5;467,873;;;;
27,75;466,373;;;;
28;464,872;;;;
27,5;463,368;;;;
27,5;461,862;;;;
27,25;460,337;;;;
27,75;458,839;;;;
27,75;457,338;;;;
27,5;455,837;;;;
27,25;454,335;;;;
27,25;452,78;;;;
28,25;451,322;;;;
27,25;449,814;;;;
27,75;448,324;;;;
27,5;446,835;;;;
27,75;443,612;;;;
27,5;442,044;;;;
27,5;440,546;;;;
27,5;439,11;;;;
27,5;437,58;;;;
27;436,11;;;;
27,5;434,613;;;;
27,5;433,08;;;;
27,5;431,567;;;;
27,5;430,102;;;;
27,5;428,588;;;;
27,25;427,096;;;;
27,5;425,567;;;;
27,5;424,087;;;;
27,25;422,562;;;;
27;420,992;;;;
27,5;419,528;;;;
27;418,017;;;;
26,75;416,571;;;;
27;415,054;;;;
27;413,566;;;;
27;412,061;;;;
27,25;410,54;;;;
26,75;409,052;;;;
27;407,546;;;;
27,25;406,051;;;;
27,5;404,5;;;;
27;403,017;;;;
27;401,535;;;;
27;400,036;;;;
26,5;398,507;;;;
26,5;396,994;;;;
27,25;395,515;;;;
27,25;393,961;;;;
26,75;392,492;;;;
27;391,006;;;;
26,75;389,507;;;;
26,5;387,995;;;;
27,25;386,491;;;;
27;384,947;;;;
26,75;383,39;;;;
27;381,971;;;;
26,75;380,419;;;;
27;378,942;;;;
26,75;377,463;;;;
27;375,944;;;;
26,75;374,464;;;;
26,5;372,957;;;;
26,5;371,438;;;;
26,75;369,947;;;;
26,5;368,388;;;;
26,75;366,939;;;;
26,25;365,406;;;;
27;363,942;;;;
27;362,401;;;;
26,75;360,936;;;;
26,75;359,39;;;;
26,5;357,88;;;;
